date_sold,sales_price,address,bedrooms,bathrooms,square_feet,home_type,year_built,neighborhood,lat,long,age
2022-02-16T00:00:00Z,185000,"1901 5th Ave E UNIT 2308, Tuscaloosa, AL 35401",3,3,1336,Condominium,2007,Forest Lake,33.1936063787344,-87.5295879154398,15
2022-02-15T00:00:00Z,190000,"708 11th St APT 111, Tuscaloosa, AL 35401",1,1,608,Condominium,1985,University,33.2053104201835,-87.5460841596175,37
2022-02-14T00:00:00Z,137000,"210 15th St E Apt 26, Tuscaloosa, AL 35401",2,2,995,Condominium,1985,University,33.1990781210775,-87.5339056596176,37
2022-02-14T00:00:00Z,237500,"600 13th St E APT 114, Tuscaloosa, AL 35401",3,3,1450,Condominium,2006,University,33.2016795464858,-87.5276787903023,16
2022-02-11T00:00:00Z,182000,"1901 5th Ave E UNIT 1102, Tuscaloosa, AL 35401",3,3,1336,Condominium,2007,Forest Lake,33.1937137003091,-87.5298901442753,15
2022-02-11T00:00:00Z,156000,"120 15th St E APT 324, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.1997320316255,-87.5349994712616,31
2022-02-11T00:00:00Z,287000,"700 15th St UNIT 2411, Tuscaloosa, AL 35401",2,3,1478,Condominium,2009,University,33.200613527017,-87.5468054424261,13
2022-02-10T00:00:00Z,168000,"120 15th St E APT 223, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.1997518866882,-87.5351902019464,31
2022-02-09T00:00:00Z,149900,"1901 5th Ave E UNIT 3221, Tuscaloosa, AL 35401",2,2,1040,Condominium,2007,Forest Lake,33.1935707570061,-87.5296118614668,15
2022-02-08T00:00:00Z,153500,"1901 5th Ave E UNIT 3118, Tuscaloosa, AL 35401",2,2,1112,Condominium,2007,Forest Lake,33.1936445477394,-87.52963197496,15
2022-02-07T00:00:00Z,1005000,"1501 University Blvd. #303, Tuscaloosa, AL 35401",4,4,1851,Condominium,2020,University,33.2114646420291,-87.557383390302,2
2022-02-04T00:00:00Z,325000,"1015 14th Ave APT 6, Tuscaloosa, AL 35401",2,2,950,Condominium,1986,University,33.2063567868186,-87.5548277037954,36
2022-02-02T00:00:00Z,375000,"820 Frank Thomas Ave UNIT 111, Tuscaloosa, AL 35401",2,1,863,Condominium,2009,University,33.2076406223785,-87.553759832631,13
2022-01-28T00:00:00Z,185000,"708 11th St APT 110, Tuscaloosa, AL 35401",3,3,1175,Condominium,2006,University,33.205346951044,-87.5460090577683,16
2022-01-28T00:00:00Z,192500,"708 11th St APT 110, Tuscaloosa, AL 35401",1,1,608,Condominium,1985,University,33.205346951044,-87.5460948884531,37
2022-01-27T00:00:00Z,148000,"1901 5th Ave E UNIT 3226, Tuscaloosa, AL 35401",2,2,1114,Condominium,2007,Forest Lake,33.1934957226074,-87.5295473884533,15
2022-01-27T00:00:00Z,148000,"1901 5th Ave E UNIT 3226, Tuscaloosa, AL 35401",2,2,1114,Condominium,2007,Forest Lake,33.1934687880818,-87.5295688461245,15
2022-01-27T00:00:00Z,184900,"600 13th St E APT 811, Tuscaloosa, AL 3540",3,3,1175,Condominium,2006,University,33.2016025409951,-87.5271993019464,16
2022-01-27T00:00:00Z,184900,"600 13th St E APT 811, Tuscaloosa, AL 35401",3,3,1175,Condominium,2006,University,33.2016923143756,-87.5271885731107,16
2022-01-27T00:00:00Z,372500,"1020 Oak Ave #3, Tuscaloosa, AL 35401",2,3,1422,Townhouse,2008,University,33.2060973030819,-87.5557599731107,14
2022-01-27T00:00:00Z,372500,"1020 Oak Ave #3, Tuscaloosa, AL 35401",2,3,1422,Townhouse,2008,University,33.2061152568435,-87.5557599731107,14
2021-12-31T00:00:00Z,182900,"708 11th St APT 203, Tuscaloosa, AL 35401",1,1,608,Condominium,1985,University,33.2052976051322,-87.546094788453,36
2021-12-30T00:00:00Z,144900,"1901 5th Ave E UNIT 1103, Tuscaloosa, AL 35401",2,2,1044,Condominium,2007,Forest Lake,33.193770469193,-87.5299028731109,14
2021-12-30T00:00:00Z,105900,"120 15th St E APT 804, Tuscaloosa, AL 35401",1,1,708,Condominium,1996,University,33.2009542162678,-87.5352431461243,25
2021-12-30T00:00:00Z,105000,"120 15th St E APT 205, Tuscaloosa, AL 35401",1,1,708,Condominium,1991,University,33.1999237964477,-87.535251330782,30
